radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
LTE,440,11,39938,189992193,27,132.3992866,33.4860234,0,49,1,1702883075,1747708575,
LTE,440,11,39938,189992449,58,132.3982998,33.4873853,0,19,1,1702883075,1747708575,
LTE,440,11,39938,189992705,213,132.3968886,33.4889227,0,54,1,1702883075,1747708575,
LTE,440,11,39938,189993729,252,132.7487359,33.5818999,0,42,1,1720497529,1720497529,
LTE,440,11,39937,189994753,240,132.5752289,33.6443221,0,58,1,1715746969,1719629792,
LTE,440,11,39937,189996289,384,132.5847087,33.6542676,0,80,1,1719629790,1743126654,
LTE,440,11,39938,189996545,390,132.6534708,33.4858094,0,80,1,1725322932,1748326903,
LTE,440,11,39938,189996801,384,132.6574521,33.4814383,0,972,1,1714271203,1748326903,
LTE,440,11,39938,189997057,165,132.7799607,33.4789547,0,44,1,1748313516,1748313516,
LTE,440,11,39938,189997313,232,132.7818093,33.4733702,0,30,1,1748313516,1748313516,
LTE,440,11,39938,189997569,50,132.7804518,33.4752241,0,16,1,1748313516,1748313516,
LTE,440,11,39937,189997825,78,132.9880137,33.8382100,0,145,1,1715401256,1737296161,
LTE,440,11,39937,189998081,214,132.9847679,33.8354052,0,41,1,1715401256,1737296161,
LTE,440,11,39937,189998337,302,132.9847800,33.8360455,0,7,1,1718420646,1718421481,
LTE,440,11,39938,189998593,270,132.7744087,33.3698289,0,195,1,1714271209,1748313520,
LTE,440,11,39938,189998849,387,132.8174517,33.3804592,0,65,1,1748313521,1748313521,
LTE,440,11,39938,190002177,393,132.7634558,33.4270999,0,11,1,1748313518,1748313518,
LTE,440,11,39938,190002433,394,132.7615415,33.4261667,0,55,1,1748313518,1748313518,
LTE,440,11,39938,190002689,380,132.7614243,33.4273419,0,7,1,1748313519,1748313519,
LTE,440,11,39937,190004993,1,133.0400734,33.8353417,0,57,1,1679310326,1718427437,
LTE,440,11,39937,190008065,1,133.0497339,33.8271443,0,17,1,1718427437,1718427437,
LTE,440,11,39937,190011905,1,133.0095948,33.7861030,0,21,1,1718418489,1718418489,
LTE,440,11,39937,190019073,2,133.0486805,33.8322449,0,37,1,1679310326,1718427437,
LTE,440,11,39938,190019585,10,132.9255538,33.6865100,0,21,1,1735265773,1735280080,
LTE,440,11,39937,190019841,16,132.6861722,33.6197765,0,37,1,1720497533,1720497534,
LTE,440,11,39938,190020097,20,132.7106825,33.2207021,0,34,1,1748316954,1748316954,
LTE,440,11,39938,190021633,205,132.4127765,33.4855516,0,67,1,1689323582,1747708575,
LTE,440,11,39938,190021889,206,132.4089532,33.4855491,0,72,1,1689323582,1747708575,
